variant,min_n,awmae,outcome,exact,levels,choices
conf,8,2.3122624629681283,61.560039602093255,13.33034746122295,"{'gender,tournament,year,conf_pair': 36680, 'gender,tournament,year': 5112, 'gender,archetype': 282, 'gender,tournament,era': 194, 'gender,tournament': 154}","{'E5': 15687, 'E4': 5022, 'metric_draw_off': 3570, 'v4': 2566, 'dynamic': 2544, 'risk1': 2439, 'risk3': 2015, 'v29': 1836}"
conf,10,2.3183551398420366,61.46574890387063,13.221913158266938,"{'gender,tournament,year,conf_pair': 35650, 'gender,tournament,year': 5966, 'gender,archetype': 322, 'gender,tournament,era': 266, 'gender,tournament': 218}","{'E5': 15794, 'E4': 5168, 'metric_draw_off': 3520, 'v4': 2566, 'dynamic': 2438, 'risk1': 2420, 'risk3': 2006, 'v29': 1861}"
conf,12,2.322144623819421,61.41860355475932,13.167696006788931,"{'gender,tournament,year,conf_pair': 34944, 'gender,tournament,year': 6592, 'gender,archetype': 352, 'gender,tournament,era': 306, 'gender,tournament': 228}","{'E5': 15776, 'E4': 5258, 'metric_draw_off': 3539, 'v4': 2586, 'risk1': 2389, 'dynamic': 2334, 'risk3': 1986, 'v29': 1911}"
conf,14,2.3307916556710744,61.24652303050304,13.101692518033095,"{'gender,tournament,year,conf_pair': 33808, 'gender,tournament,year': 6876, 'gender,tournament,era': 858, 'gender,archetype': 568, 'gender,tournament': 312}","{'E5': 16065, 'E4': 5614, 'metric_draw_off': 3526, 'v4': 2515, 'risk1': 2305, 'dynamic': 2160, 'risk3': 1962, 'v29': 1779}"
neutral,8,2.334900030823495,61.0579416340578,12.884823912121067,"{'gender,tournament,year,neutral': 40542, 'gender,tournament,year': 1162, 'gender,archetype': 274, 'gender,tournament,era': 250, 'gender,tournament': 194}","{'E5': 14622, 'E4': 5152, 'risk1': 3708, 'dynamic': 2874, 'E2': 2802, 'metric_draw_off': 2466, 'v4': 2146, 'Plan01': 1800}"
conf,16,2.3368932857200737,61.154589599735985,12.990900947621517,"{'gender,tournament,year,conf_pair': 32764, 'gender,tournament,year': 7752, 'gender,tournament,era': 886, 'gender,archetype': 708, 'gender,tournament': 312}","{'E5': 16242, 'E4': 5750, 'metric_draw_off': 3496, 'v4': 2431, 'risk1': 2276, 'dynamic': 2048, 'risk3': 1989, 'v29': 1810}"
conf,18,2.3384045363885124,61.12158785535807,12.986186412710385,"{'gender,tournament,year,conf_pair': 32298, 'gender,tournament,year': 8074, 'gender,tournament,era': 982, 'gender,archetype': 724, 'gender,tournament': 344}","{'E5': 16290, 'E4': 5798, 'metric_draw_off': 3528, 'v4': 2398, 'risk1': 2244, 'dynamic': 2032, 'risk3': 1973, 'v29': 1876}"
neutral,10,2.3388789165641346,61.00608175003536,12.776389609165056,"{'gender,tournament,year,neutral': 39646, 'gender,tournament,year': 1970, 'gender,archetype': 322, 'gender,tournament,era': 266, 'gender,tournament': 218}","{'E5': 14664, 'E4': 5238, 'risk1': 3700, 'dynamic': 2866, 'E2': 2802, 'metric_draw_off': 2498, 'v4': 2154, 'Plan01': 1768}"
conf,20,2.3410791860285847,61.06972797133563,12.953184668332469,"{'gender,tournament,year,conf_pair': 31734, 'gender,tournament,year': 8332, 'gender,tournament,era': 1216, 'gender,archetype': 742, 'gender,tournament': 398}","{'E5': 16432, 'E4': 5780, 'metric_draw_off': 3530, 'v4': 2326, 'risk1': 2224, 'dynamic': 2050, 'risk3': 1899, 'v29': 1894}"
neutral_home,8,2.341409593331469,61.14280326245816,12.62080995709773,"{'gender,tournament,year,neutral,is_home': 37370, 'gender,tournament,year': 4246, 'gender,archetype': 322, 'gender,tournament,era': 266, 'gender,tournament': 218}","{'E5': 14777, 'E4': 5213, 'risk1': 3142, 'v29': 2459, 'metric_draw_off': 2455, 'dynamic': 2445, 'v4': 2372, 'E1': 1781}"
neutral_home,10,2.342011841513426,61.13337419263589,12.62788175946443,"{'gender,tournament,year,neutral,is_home': 36806, 'gender,tournament,year': 4810, 'gender,archetype': 322, 'gender,tournament,era': 266, 'gender,tournament': 218}","{'E5': 14783, 'E4': 5220, 'risk1': 3101, 'metric_draw_off': 2489, 'v29': 2467, 'dynamic': 2445, 'v4': 2381, 'E1': 1781}"
neutral,12,2.34336919362568,60.93300645891283,12.663240771297913,"{'gender,tournament,year,neutral': 38826, 'gender,tournament,year': 2710, 'gender,archetype': 352, 'gender,tournament,era': 306, 'gender,tournament': 228}","{'E5': 14798, 'E4': 5384, 'risk1': 3680, 'E2': 2812, 'dynamic': 2786, 'metric_draw_off': 2448, 'v4': 2134, 'Plan01': 1748}"
neutral_home,12,2.3446922570287843,61.06265616896893,12.580736410353119,"{'gender,tournament,year,neutral,is_home': 35578, 'gender,tournament,year': 5958, 'gender,archetype': 352, 'gender,tournament,era': 306, 'gender,tournament': 228}","{'E5': 14907, 'E4': 5376, 'risk1': 3060, 'metric_draw_off': 2466, 'v29': 2437, 'dynamic': 2401, 'v4': 2369, 'E1': 1781}"
conf,24,2.346066393160362,60.958936400924046,12.85889397010985,"{'gender,tournament,year,conf_pair': 30072, 'gender,tournament,year': 9228, 'gender,tournament,era': 1444, 'gender,archetype': 932, 'gender,tournament': 746}","{'E5': 16596, 'E4': 6184, 'metric_draw_off': 3383, 'v4': 2220, 'risk1': 2202, 'dynamic': 1922, 'v29': 1881, 'risk3': 1812}"
conf,30,2.3510835029363117,60.88821837725709,12.755174202064968,"{'gender,tournament,year,conf_pair': 28606, 'gender,tournament,year': 9726, 'gender,tournament,era': 1912, 'gender,tournament': 1126, 'gender,archetype': 1052}","{'E5': 16734, 'E4': 6430, 'metric_draw_off': 3228, 'risk1': 2250, 'v4': 2220, 'v29': 1876, 'dynamic': 1822, 'risk3': 1810}"
neutral,14,2.3522943977963844,60.80807128376786,12.616095422186602,"{'gender,tournament,year,neutral': 37818, 'gender,tournament,year': 2866, 'gender,tournament,era': 858, 'gender,archetype': 568, 'gender,tournament': 312}","{'E5': 15070, 'E4': 5700, 'risk1': 3632, 'E2': 2848, 'dynamic': 2678, 'metric_draw_off': 2424, 'v4': 2026, 'Plan01': 1688}"
neutral_home,14,2.353149143475586,60.935363726368394,12.521804723963982,"{'gender,tournament,year,neutral,is_home': 34484, 'gender,tournament,year': 6200, 'gender,tournament,era': 858, 'gender,archetype': 568, 'gender,tournament': 312}","{'E5': 15263, 'E4': 5721, 'risk1': 3038, 'metric_draw_off': 2402, 'v29': 2365, 'v4': 2274, 'dynamic': 2267, 'E1': 1781}"
neutral,16,2.3552786674564046,60.75149686483429,12.531233793786242,"{'gender,tournament,year,neutral': 37370, 'gender,tournament,year': 3146, 'gender,tournament,era': 886, 'gender,archetype': 708, 'gender,tournament': 312}","{'E5': 15174, 'E4': 5862, 'risk1': 3604, 'E2': 2848, 'dynamic': 2664, 'metric_draw_off': 2340, 'v4': 1998, 'Plan01': 1660}"
neutral_home,16,2.355571185576487,60.871717505068126,12.49116024704163,"{'gender,tournament,year,neutral,is_home': 33912, 'gender,tournament,year': 6604, 'gender,tournament,era': 886, 'gender,archetype': 708, 'gender,tournament': 312}","{'E5': 15311, 'E4': 5827, 'risk1': 3038, 'metric_draw_off': 2346, 'v29': 2322, 'v4': 2217, 'dynamic': 2211, 'E1': 1781}"
neutral,18,2.355984168255178,60.734995992645324,12.533591061241808,"{'gender,tournament,year,neutral': 37130, 'gender,tournament,year': 3242, 'gender,tournament,era': 982, 'gender,archetype': 724, 'gender,tournament': 344}","{'E5': 15206, 'E4': 5894, 'risk1': 3604, 'E2': 2848, 'dynamic': 2664, 'metric_draw_off': 2324, 'v4': 1998, 'Plan01': 1644}"
neutral,20,2.357138250101067,60.71613785300081,12.519447456508415,"{'gender,tournament,year,neutral': 36806, 'gender,tournament,year': 3260, 'gender,tournament,era': 1216, 'gender,archetype': 742, 'gender,tournament': 398}","{'E5': 15332, 'E4': 5912, 'risk1': 3604, 'E2': 2848, 'dynamic': 2664, 'metric_draw_off': 2288, 'v4': 1962, 'Plan01': 1644}"
neutral_home,18,2.357167094699868,60.85757390033473,12.472302107397105,"{'gender,tournament,year,neutral,is_home': 32892, 'gender,tournament,year': 7480, 'gender,tournament,era': 982, 'gender,archetype': 724, 'gender,tournament': 344}","{'E5': 15542, 'E4': 5875, 'risk1': 3023, 'metric_draw_off': 2263, 'v29': 2258, 'v4': 2217, 'dynamic': 2195, 'E1': 1781}"
conf,40,2.358338433500589,60.79392767903447,12.644382631653386,"{'gender,tournament,year,conf_pair': 25794, 'gender,tournament,year': 9864, 'gender,tournament,era': 3026, 'gender,tournament': 2454, 'gender,archetype': 1284}","{'E5': 16922, 'E4': 6858, 'metric_draw_off': 3184, 'risk1': 2116, 'v4': 2026, 'v29': 1914, 'E2': 1786, 'risk3': 1750}"
neutral_home,20,2.358681695838732,60.83871576069021,12.44872943284145,"{'gender,tournament,year,neutral,is_home': 32082, 'gender,tournament,year': 7984, 'gender,tournament,era': 1216, 'gender,archetype': 742, 'gender,tournament': 398}","{'E5': 15798, 'E4': 5873, 'risk1': 3023, 'v29': 2258, 'v4': 2199, 'metric_draw_off': 2188, 'dynamic': 2178, 'E1': 1781}"
neutral,24,2.359880000143102,60.6548488991561,12.45344396775258,"{'gender,tournament,year,neutral': 35578, 'gender,tournament,year': 3722, 'gender,tournament,era': 1444, 'gender,archetype': 932, 'gender,tournament': 746}","{'E5': 15418, 'E4': 6340, 'risk1': 3584, 'E2': 2868, 'dynamic': 2618, 'metric_draw_off': 2140, 'v4': 1960, 'Plan01': 1604}"
year_only,8,2.3600577883223575,60.673707038800615,12.55244920088633,"{'gender,tournament,year': 41992, 'gender,archetype': 202, 'gender,tournament,era': 122, 'gender,tournament': 106}","{'E5': 18434, 'E4': 5268, 'metric_draw_off': 2824, 'E2': 2762, 'v29': 2446, 'dynamic': 2296, 'risk1': 1810, 'v4': 1802}"
neutral_home,24,2.3611117234014873,60.777426806845504,12.427514025741361,"{'gender,tournament,year,neutral,is_home': 30240, 'gender,tournament,year': 9060, 'gender,tournament,era': 1444, 'gender,archetype': 932, 'gender,tournament': 746}","{'E5': 16213, 'E4': 6175, 'risk1': 3042, 'v29': 2235, 'dynamic': 2178, 'v4': 2048, 'metric_draw_off': 1983, 'E1': 1781}"
year_only,10,2.3624238262475816,60.628918957144876,12.507661119230587,"{'gender,tournament,year': 41616, 'gender,archetype': 322, 'gender,tournament,era': 266, 'gender,tournament': 218}","{'E5': 18412, 'E4': 5450, 'metric_draw_off': 2808, 'E2': 2762, 'v29': 2422, 'dynamic': 2256, 'v4': 1794, 'risk1': 1786}"
year_only,12,2.36299430944418,60.62184715477819,12.493517514497194,"{'gender,tournament,year': 41536, 'gender,archetype': 352, 'gender,tournament,era': 306, 'gender,tournament': 228}","{'E5': 18416, 'E4': 5486, 'metric_draw_off': 2818, 'E2': 2762, 'v29': 2422, 'dynamic': 2236, 'v4': 1794, 'risk1': 1766}"
neutral_home,30,2.3639479976434816,60.73028145773419,12.352081467163265,"{'gender,tournament,year,neutral,is_home': 28286, 'gender,tournament,year': 10046, 'gender,tournament,era': 1912, 'gender,tournament': 1126, 'gender,archetype': 1052}","{'E5': 16300, 'E4': 6505, 'risk1': 3097, 'v29': 2173, 'dynamic': 2074, 'v4': 2024, 'metric_draw_off': 1987, 'E1': 1781}"
neutral,30,2.364794576097771,60.600631747678094,12.378011409174485,"{'gender,tournament,year,neutral': 34092, 'gender,tournament,year': 4240, 'gender,tournament,era': 1912, 'gender,tournament': 1126, 'gender,archetype': 1052}","{'E5': 15470, 'E4': 6608, 'risk1': 3660, 'E2': 2868, 'dynamic': 2518, 'metric_draw_off': 2068, 'v4': 1882, 'Plan01': 1554}"
neutral_home,40,2.368137590963567,60.6548488991561,12.288435245862996,"{'gender,tournament,year,neutral,is_home': 26934, 'gender,tournament,year': 8724, 'gender,tournament,era': 3026, 'gender,tournament': 2454, 'gender,archetype': 1284}","{'E5': 16457, 'E4': 7141, 'risk1': 2969, 'v29': 2017, 'metric_draw_off': 2015, 'dynamic': 1950, 'v4': 1828, 'E1': 1781}"
year_only,14,2.3686546602806025,60.52048465418886,12.479373909763803,"{'gender,tournament,year': 40684, 'gender,tournament,era': 858, 'gender,archetype': 568, 'gender,tournament': 312}","{'E5': 18640, 'E4': 5742, 'metric_draw_off': 2806, 'E2': 2762, 'v29': 2338, 'dynamic': 2152, 'risk1': 1730, 'v4': 1722}"
neutral,40,2.369560929884449,60.56055820093348,12.300221583140823,"{'gender,tournament,year,neutral': 32082, 'gender,tournament,year': 3576, 'gender,tournament,era': 3026, 'gender,tournament': 2454, 'gender,archetype': 1284}","{'E5': 16070, 'E4': 6930, 'risk1': 3502, 'E2': 2898, 'dynamic': 2388, 'metric_draw_off': 2028, 'v4': 1692, 'E1': 1498}"
year_only,16,2.3702859355112307,60.475696572533124,12.429871293196925,"{'gender,tournament,year': 40516, 'gender,tournament,era': 886, 'gender,archetype': 708, 'gender,tournament': 312}","{'E5': 18688, 'E4': 5848, 'E2': 2762, 'metric_draw_off': 2750, 'v29': 2310, 'dynamic': 2110, 'risk1': 1730, 'v4': 1694}"
year_only,18,2.3706924676201178,60.46391023525529,12.425156758285794,"{'gender,tournament,year': 40372, 'gender,tournament,era': 982, 'gender,archetype': 724, 'gender,tournament': 344}","{'E5': 18720, 'E4': 5880, 'E2': 2762, 'metric_draw_off': 2734, 'v29': 2278, 'dynamic': 2110, 'risk1': 1730, 'v4': 1694}"
year_only,20,2.3717032644645393,60.44505209561076,12.413370421007967,"{'gender,tournament,year': 40066, 'gender,tournament,era': 1216, 'gender,archetype': 742, 'gender,tournament': 398}","{'E5': 18846, 'E4': 5916, 'E2': 2762, 'metric_draw_off': 2680, 'v29': 2278, 'dynamic': 2110, 'risk1': 1730, 'v4': 1658}"
year_only,24,2.37282651170951,60.42147942105511,12.382725944085617,"{'gender,tournament,year': 39300, 'gender,tournament,era': 1444, 'gender,archetype': 932, 'gender,tournament': 746}","{'E5': 18802, 'E4': 6214, 'E2': 2742, 'metric_draw_off': 2576, 'v29': 2278, 'dynamic': 2110, 'risk1': 1730, 'v4': 1636}"
year_only,30,2.37477655458118,60.39790674649945,12.335580594974306,"{'gender,tournament,year': 38332, 'gender,tournament,era': 1912, 'gender,tournament': 1126, 'gender,archetype': 1052}","{'E5': 18836, 'E4': 6430, 'E2': 2742, 'metric_draw_off': 2556, 'v29': 2252, 'dynamic': 2060, 'risk1': 1754, 'v4': 1584}"
year_only,40,2.3782677166878314,60.34840412993259,12.276648908585168,"{'gender,tournament,year': 35658, 'gender,tournament,era': 3026, 'gender,tournament': 2454, 'gender,archetype': 1284}","{'E5': 19022, 'E4': 6858, 'E2': 2772, 'metric_draw_off': 2584, 'v29': 2154, 'dynamic': 1966, 'risk1': 1628, 'E1': 1574}"
